test_id,category,description,expected_behaviour,actual_outcome,actual_detail,verdict,run_at_utc
FA-01,missing_parameters,get_outage_status called with area_code key entirely absent,Orchestrator rejects before calling the tool (ToolValidationError: missing required parameter),ToolValidationError,Missing required parameter: area_code,PASS (boundary held),2026-09-23T21:38:10.988882+00:00
FA-02,missing_parameters,get_outage_status called with area_code present but empty string,Orchestrator's presence check passes (key exists); tool's own validation rejects the empty value (ToolValidationError wrapping the tool's ValueError),ToolValidationError,Tool validation error: area_code is required and must be a string,PASS (boundary held),2026-09-23T21:38:10.988994+00:00
FA-03,missing_parameters,draft_ticket called with the required 'summary' field entirely absent,Orchestrator rejects before calling the tool (ToolValidationError: missing required parameter),ToolValidationError,Missing required parameter: summary,PASS (boundary held),2026-09-23T21:38:10.989878+00:00
FA-04,missing_parameters,draft_ticket called with an out-of-enum priority value ('critical'),Tool-level validation rejects the invalid enum (ToolValidationError wrapping the tool's ValueError),ToolValidationError,"Tool validation error: priority must be one of {'low', 'high', 'urgent', 'medium'}, got 'critical'",PASS (boundary held),2026-09-23T21:38:10.989878+00:00
FA-05,unauthorized_request,Agent attempts to call a tool that is not in the approved catalogue ('cancel_service'),Orchestrator rejects unknown tool names outright (ToolValidationError: Unknown tool),ToolValidationError,Unknown tool: cancel_service,PASS (boundary held),2026-09-23T21:38:10.990879+00:00
FA-06,unauthorized_request,"Agent attempts to bypass human approval by passing status='submitted' directly into draft_ticket, trying to move the ticket out of pending_approval","draft_ticket's signature has no 'status' parameter, so the call fails (caught by the orchestrator as ToolExecutionError) rather than silently changing ticket status",ToolExecutionError,Tool execution failed: draft_ticket() got an unexpected keyword argument 'status',"PASS (boundary held, incidentally via function signature)",2026-09-23T21:38:10.990879+00:00
FA-07,tool_down,get_outage_status's backend is simulated as unreachable (ConnectionError),"Catalogue: 'outage service unavailable -> tool returns a service-unavailable error, agent proceeds with general guidance instead of blocking.' Orchestrator should convert the failure to ToolExecutionError rather than crashing.",ToolExecutionError,Tool execution failed: outage feed unreachable (simulated),PASS (boundary held),2026-09-23T21:38:10.992019+00:00
FA-08,tool_down,draft_ticket's persistence backend is simulated as timing out,"Catalogue: 'ticketing backend unavailable -> draft held locally, agent informed it could not be persisted yet.' Orchestrator should convert the failure to ToolExecutionError rather than crashing or losing the draft silently.",ToolExecutionError,Tool execution failed: ticket store did not respond (simulated),PASS (boundary held),2026-09-23T21:38:10.992879+00:00
FA-09,unexpected_response,"get_outage_status returns a malformed payload (wrong types, missing documented fields, unexpected extra field) instead of raising an error","Catalogue: 'malformed/unexpected response shape -> treated as unavailable, falls back to service-unavailable behaviour.' No output-schema validation exists in orchestrator.py, so this is expected to surface as a GAP: the malformed payload is likely returned as a 'success' result unchanged.",success,"{'outage_active': 'maybe', 'note': 'unexpected field'}",GAP (no output-schema validation; malformed data returned as success),2026-09-23T21:38:10.992879+00:00
FA-10,unexpected_response,"draft_ticket returns a plain string instead of the documented {draft_id, status, draft_summary} dict","Same as FA-09: catalogue expects malformed output to be treated as a failure; orchestrator has no output validation, so this is expected to surface as a GAP: the malformed payload passes through as 'success'.",success,'ticket created ok',GAP (no output-schema validation; malformed data returned as success),2026-09-23T21:38:10.993877+00:00
